parametro,valor,unidad,horas_operacion,fecha
temperatura_devanado_A,154.0,C,21680,2026-10-08
temperatura_devanado_A,159.6,C,21720,2026-10-09
temperatura_devanado_A,165.2,C,21760,2026-10-10
temperatura_devanado_A,170.8,C,21800,2026-10-11
temperatura_devanado_A,176.4,C,21840,2026-10-12
temperatura_devanado_A,182.0,C,21880,2026-10-13
temperatura_devanado_B,121.0,C,21680,2026-10-08
temperatura_devanado_B,122.0,C,21720,2026-10-09
temperatura_devanado_B,122.0,C,21760,2026-10-10
temperatura_devanado_B,121.0,C,21800,2026-10-11
temperatura_devanado_B,122.0,C,21840,2026-10-12
temperatura_devanado_B,121.0,C,21880,2026-10-13
temperatura_devanado_C,120.0,C,21680,2026-10-08
temperatura_devanado_C,121.0,C,21720,2026-10-09
temperatura_devanado_C,121.0,C,21760,2026-10-10
temperatura_devanado_C,120.0,C,21800,2026-10-11
temperatura_devanado_C,121.0,C,21840,2026-10-12
temperatura_devanado_C,120.0,C,21880,2026-10-13
temperatura_aceite,66.0,C,21680,2026-10-08
temperatura_aceite,67.0,C,21720,2026-10-09
temperatura_aceite,67.0,C,21760,2026-10-10
temperatura_aceite,66.0,C,21800,2026-10-11
temperatura_aceite,67.0,C,21840,2026-10-12
temperatura_aceite,66.0,C,21880,2026-10-13
temperatura_agua,97.0,C,21680,2026-10-08
temperatura_agua,98.0,C,21720,2026-10-09
temperatura_agua,98.0,C,21760,2026-10-10
temperatura_agua,97.0,C,21800,2026-10-11
temperatura_agua,98.0,C,21840,2026-10-12
temperatura_agua,97.0,C,21880,2026-10-13
temperatura_agua_LT,44.0,C,21680,2026-10-08
temperatura_agua_LT,45.0,C,21720,2026-10-09
temperatura_agua_LT,45.0,C,21760,2026-10-10
temperatura_agua_LT,44.0,C,21800,2026-10-11
temperatura_agua_LT,45.0,C,21840,2026-10-12
temperatura_agua_LT,44.0,C,21880,2026-10-13
temperatura_aire_carga,60.0,C,21680,2026-10-08
temperatura_aire_carga,61.0,C,21720,2026-10-09
temperatura_aire_carga,61.0,C,21760,2026-10-10
temperatura_aire_carga,60.0,C,21800,2026-10-11
temperatura_aire_carga,61.0,C,21840,2026-10-12
temperatura_aire_carga,60.0,C,21880,2026-10-13
temperatura_gases_escape,446.0,C,21680,2026-10-08
temperatura_gases_escape,448.0,C,21720,2026-10-09
temperatura_gases_escape,448.0,C,21760,2026-10-10
temperatura_gases_escape,446.0,C,21800,2026-10-11
temperatura_gases_escape,448.0,C,21840,2026-10-12
temperatura_gases_escape,446.0,C,21880,2026-10-13
presion_aceite,4.3,bar,21680,2026-10-08
presion_aceite,4.4,bar,21720,2026-10-09
presion_aceite,4.4,bar,21760,2026-10-10
presion_aceite,4.3,bar,21800,2026-10-11
presion_aceite,4.4,bar,21840,2026-10-12
presion_aceite,4.3,bar,21880,2026-10-13
presion_aceite_turbo_A,3.8,bar,21680,2026-10-08
presion_aceite_turbo_A,3.9,bar,21720,2026-10-09
presion_aceite_turbo_A,3.9,bar,21760,2026-10-10
presion_aceite_turbo_A,3.8,bar,21800,2026-10-11
presion_aceite_turbo_A,3.9,bar,21840,2026-10-12
presion_aceite_turbo_A,3.8,bar,21880,2026-10-13
vibracion_motor,2.9,mm/s,21680,2026-10-08
vibracion_motor,3.0,mm/s,21720,2026-10-09
vibracion_motor,3.0,mm/s,21760,2026-10-10
vibracion_motor,2.9,mm/s,21800,2026-10-11
vibracion_motor,3.0,mm/s,21840,2026-10-12
vibracion_motor,2.9,mm/s,21880,2026-10-13
