parametro,valor,unidad,horas_operacion,fecha
temperatura_devanado_A,126.0,C,16400,2026-05-29
temperatura_devanado_A,129.0,C,16440,2026-05-30
temperatura_devanado_A,133.0,C,16480,2026-05-31
temperatura_devanado_A,138.0,C,16520,2026-06-01
temperatura_devanado_A,144.0,C,16560,2026-06-02
temperatura_devanado_A,149.0,C,16600,2026-06-03
temperatura_devanado_B,120.0,C,16400,2026-05-29
temperatura_devanado_B,121.0,C,16440,2026-05-30
temperatura_devanado_B,120.0,C,16480,2026-05-31
temperatura_devanado_B,122.0,C,16520,2026-06-01
temperatura_devanado_B,121.0,C,16560,2026-06-02
temperatura_devanado_B,122.0,C,16600,2026-06-03
temperatura_devanado_C,118.0,C,16400,2026-05-29
temperatura_devanado_C,119.0,C,16440,2026-05-30
temperatura_devanado_C,119.0,C,16480,2026-05-31
temperatura_devanado_C,120.0,C,16520,2026-06-01
temperatura_devanado_C,120.0,C,16560,2026-06-02
temperatura_devanado_C,121.0,C,16600,2026-06-03
temperatura_aceite,63.0,C,16400,2026-05-29
temperatura_aceite,64.0,C,16440,2026-05-30
temperatura_aceite,65.0,C,16480,2026-05-31
temperatura_aceite,66.0,C,16520,2026-06-01
temperatura_aceite,67.0,C,16560,2026-06-02
temperatura_aceite,68.0,C,16600,2026-06-03
temperatura_agua,95.0,C,16400,2026-05-29
temperatura_agua,96.0,C,16440,2026-05-30
temperatura_agua,96.0,C,16480,2026-05-31
temperatura_agua,97.0,C,16520,2026-06-01
temperatura_agua,97.0,C,16560,2026-06-02
temperatura_agua,98.0,C,16600,2026-06-03
temperatura_agua_LT,42.0,C,16400,2026-05-29
temperatura_agua_LT,43.0,C,16440,2026-05-30
temperatura_agua_LT,43.0,C,16480,2026-05-31
temperatura_agua_LT,44.0,C,16520,2026-06-01
temperatura_agua_LT,44.0,C,16560,2026-06-02
temperatura_agua_LT,45.0,C,16600,2026-06-03
temperatura_aire_carga,57.0,C,16400,2026-05-29
temperatura_aire_carga,58.0,C,16440,2026-05-30
temperatura_aire_carga,59.0,C,16480,2026-05-31
temperatura_aire_carga,60.0,C,16520,2026-06-01
temperatura_aire_carga,61.0,C,16560,2026-06-02
temperatura_aire_carga,62.0,C,16600,2026-06-03
temperatura_gases_escape,432.0,C,16400,2026-05-29
temperatura_gases_escape,436.0,C,16440,2026-05-30
temperatura_gases_escape,440.0,C,16480,2026-05-31
temperatura_gases_escape,444.0,C,16520,2026-06-01
temperatura_gases_escape,448.0,C,16560,2026-06-02
temperatura_gases_escape,452.0,C,16600,2026-06-03
presion_aceite,4.5,bar,16400,2026-05-29
presion_aceite,4.4,bar,16440,2026-05-30
presion_aceite,4.4,bar,16480,2026-05-31
presion_aceite,4.3,bar,16520,2026-06-01
presion_aceite,4.3,bar,16560,2026-06-02
presion_aceite,4.2,bar,16600,2026-06-03
presion_aceite_turbo_A,3.9,bar,16400,2026-05-29
presion_aceite_turbo_A,3.9,bar,16440,2026-05-30
presion_aceite_turbo_A,3.8,bar,16480,2026-05-31
presion_aceite_turbo_A,3.8,bar,16520,2026-06-01
presion_aceite_turbo_A,3.7,bar,16560,2026-06-02
presion_aceite_turbo_A,3.7,bar,16600,2026-06-03
vibracion_motor,2.4,mm/s,16400,2026-05-29
vibracion_motor,2.5,mm/s,16440,2026-05-30
vibracion_motor,2.6,mm/s,16480,2026-05-31
vibracion_motor,2.7,mm/s,16520,2026-06-01
vibracion_motor,2.9,mm/s,16560,2026-06-02
vibracion_motor,3.1,mm/s,16600,2026-06-03
